,"ср, 11.06","чт, 12.06","пт, 13.06","пт, 13.06","сб, 14.06","сб, 14.06","вс, 15.06","вс, 15.06"
,main room,open-air,main room,dark room,main room,dark room,main room,dark room
14:00,,,,,,,Raiz,
15:00,,,Touchzouk SET,,Remy,,Bombitta,
16:00,,,Chepel,,Mnsrv,,Belov,
17:00,,Lebre,Kota,,Chepel,,Vikki,
18:00,,Chepel,Kid,,Zorrito,,Katrina,
19:00,,Katrina,Raiz,,Agent Smith,,Dark Horse,
20:00,,Kriki,Mnsrv,,Lebre,,Chepel,
21:00,Touchzouk SET,Peko,Amigo,,Kriki,,Peko,
22:00,Remy,Belov,Remy,,Kota,,Zorrito,
23:00,Dark Horse,,Bombitta,,Amigo,Kid,Amigo,Kota
0:00,Chepel,,Belov,Finik SET,Vikki,Raiz,Agent Smith,Remy
1:00,Katrina,,Kriki,Zorrito,Remy,Dark Horse,Kriki,Kaver
2:00,Peko,,Vikki,Katrina,Kaver,Bombitta,Kid,Mnsrv
3:00,Lebre,,Agent Smith,,Belov,Touchzouk SET,Kota,
4:00,Bombitta,,Dark Horse,,Peko,,Remy,
5:00,,,,,Katrina,,,
