day,meal,название,цена,состав,кбжу,фото,вес,тип
friday,lunch,Рассольник с курицей,185 ₽,,"Калории
214.30
Белки
9.40 
Жиры
11.20
Углеводы
19.00",soup_rassolnik,,суп
friday,lunch,Крем суп из брокколи,185 ₽,"Брокколи, картофель , лук репчатый, сливки, молоко, соль","Калории
130.48
Белки
50.40 
Жиры
3.36
Углеводы
20.16",soup_broccoli,,суп
friday,lunch,Окунь в кисло-сладком соусе,380 ₽,"филе красного окуня, перец болгарский, морковь, лук порей, репчатый лук, кунжут, имбирь, кинза, кисло-сладкий соус, соус чили, соус унаги, масло растительное",,fish,,горячее
friday,lunch,Котлета куриная,195 ₽,"Куриное бедро, куриное филе, хлеб белый, молоко, яйцо, специи, масло растительное, сливки, сухари панировочные.","Калории
409.6
Белки
20.5
Жиры
29
Углеводы
17.1",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/2H6A8976-qxpuaf73nic5qzd5gcp5wsjr2fzi55kx5nm2ff0y38.jpg,100 г.,горячее
friday,lunch,Курица терияки с ананасом,300 ₽,"Куриное бедро (Соус: имбирь очищенный, перец чили, соевый соус, соус терияки), грибы шампиньоны, морковь очищенная, кабачки/цукини, ростки сои/ пшеницы, ананас консервированный, перец болгарский, масло растительное.","Калории
215.83
Белки
8.79
Жиры
18.46
Углеводы
6.21",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/D09AD183D180D0B8D186D0B0_D182D0B5D180D0B8D18FD0BAD0B8_D181_D0B0D0BDD0B0D0BDD0B0D181D0BED0BC-r1w4zb8h5c61cng0i6y7si5uuu21lq3blckazxj0r8.jpg,200 г.,горячее
friday,lunch,Печень с грибами,240 ₽,"Говяжья печень, мука пшеничная, лук репчатый, грибы шампиньоны, сметана, соль, зелень","Калории
235.48
Белки
9.9
Жиры
18.01
Углеводы
7.1",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/D09FD0B5D187D0B5D0BDD18C_D181_D0B3D180D0B8D0B1D0B0D0BCD0B8-r1w51nty8fdudk14s7in0wtcbih2uhf5wza06u1l78.jpg,200 г.,горячее
friday,lunch,Котлета пожарская,135 ₽,"масло растительное, фарш на котлету Пожарскую (хлеб белый, молоко, соль, лук жаренный, куриное филе)","Калории
429.3
Белки
15.4
Жиры
24.9
Углеводы
35.7",kotleta,,горячее
friday,lunch,Рис пилав,160 ₽,"Рис Басмати, Масло растительное, соль, вермишель-лапша Паутинка, масло сливочное, вода, чеснок гранулированный","Калории
202.2
Белки
3.6
Жиры
7.4
Углеводы
19.6",rice_pilav,200 г.,гарнир
friday,lunch,Овощной букет,150 ₽,"капуста цветная, кабачки/цукини, масло растительное, морковь отварная, капуста брокколи, фасоль стручковая","Калории
87.6
Белки
1.9
Жиры
6.7
Углеводы
4.8",vegetables,150 г.,гарнир
friday,lunch,Гречка с грибами,190 ₽,"Масло растительное, лук репчатый,морковь очищенная, гречка отварная, грибы","Калории
152.6
Белки
4.3
Жиры
6.3
Углеводы
24.8",mushroom_buckwheat,200 г.,гарнир
friday,lunch,Картофельное пюре,200 ₽,"Картофель, молоко, масло сливочное, соль.","Калории
94.8
Белки
2.5
Жиры
2.6
Углеводы
15.2",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/Brusnika_small_1_73-qy9agqjz7zvsx9sa9x6022eys19k54wmpc148ldcwk.jpg,200 г.,гарнир
friday,lunch,Витаминный салат,135 ₽,"Капуста б/к, морковь свежая, огурцы свежие, зелень. Запрвка: масло растительное, соль, сахар.","Калории
47.60
Белки
1.60
Жиры
1.40
Углеводы
3.60",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/2H6A8957__1_-r0t6ypffxwz47rpy2mqhwl9mxl3th0cgl57w0zri50.jpg,150 г.,салат
friday,lunch,Овощной салат,220 ₽,"Базилик, зелень, помидоры черри, огурцы свежие, оливковое масло","Калории
17.80
Белки
0.70
Жиры
0.20
Углеводы
3.26",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/D09ED0B2D0BED189D0BDD0BED0B9_D181D0B0D0BBD0B0D182__1_-r30epyhtzf873bmasdxj2vkadr06qcc852a3xvxqj8.jpg,150 г.,салат
friday,lunch,Салат со свёклой и тыквой,"190 ₽","Свекла, тыква, рукола, клюква сушеная, семечки тыквенные, специи, заправка (масло оливковое, мед, лимонный концентрат, горчица ""медово-горчичная"")","Калории
198.50
Белки
1.80
Жиры
12.30
Углеводы
19.30",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/Brusnika_800x800_19-qy9abik994qgf9dcrnwm7duryz05do6bbhk09943h0.jpg,"
150 г.",салат
friday,lunch,Крабовый салат,165 ₽,"Крабовые палочки, рис отварной, кукуруза конс, яйцо куриное, огурцы свежие, майонез,соль","Калории
230.10
Белки
4.20
Жиры
18.30
Углеводы
11.48",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/D09AD180D0B0D0B1D0BED0B2D18BD0B9_D181D0B0D0BBD0B0D182-r1w52njtg4qqmql8zmygnnsuw5l0yzcypw2gfckmms.jpg,150 г.,салат
friday,lunch,Салат со свёклой и брынзой,"165 ₽","сыр Брынза сербская, свекла отварная чищенная,салат рукола, орех кедровый, заправка (горчица зернистая/дижонская, мед, лимонный концентрат, масло оливковое)","Калории
158.60
Белки
5.10
Жиры
11.90
Углеводы
7.80",salad_cheesebeetroot,150 г.,салат
friday,dinner,Салат Цезарь с курицей,255 ₽,"Куриная грудка, помидоры черри, салат айсберг, куриное яйцо, гренки, сыр грана падано, соус Цезарь.","Калории
186.3
Белки
8.7
Жиры
14.7
Углеводы
46.9",https://delivery.brusnikacafe.ru/wp-content/uploads/elementor/thumbs/unnamed-file-16-qy9aezksi3hlbebrhnxzx0b2z7vyteym4obl31yqhg.jpg,150 г.,салат
